 k    eps   MILP  greedy  uniform  verdict
 1    5.2    9.4     9.4      1.2  =
 1    7.2   10.6    10.4      1.7  MILP>greedy
 1    9.2   11.9    11.9      1.7  =
 1   11.2   11.9    11.9      3.8  =
 1   13.2   11.9    11.9      3.8  =
 1   15.2   11.9    11.9      3.8  =
 1   17.2   11.9    11.9      3.8  =
 1   19.2   11.9    11.9      3.8  =
 3    8.3    9.3     8.9      0.5  MILP>greedy
 3   10.3   10.2    10.1      1.2  MILP>greedy
 3   12.3   11.4    11.4      1.7  =
 3   14.3   11.4    11.4      1.7  =
 3   16.3   11.9    11.9      1.7  =
 3   18.3   11.9    11.9      1.7  =
 3   20.3   11.9    11.9      2.6  =
 3   22.3   11.9    11.9      3.8  =
 3   24.3   11.9    11.9      3.8  =
 3   26.3   11.9    11.9      3.8  =
 3   28.3   11.9    11.9      3.8  =
 3   30.3   11.9    11.9      3.8  =
 3   32.3   11.9    11.9      3.8  =
 3   34.3   11.9    11.9      3.8  =
 3   36.3   11.9    11.9      3.8  =
 3   38.3   11.9    11.9      3.8  =
 3   40.3   11.9    11.9      7.2  =
 5   11.5    9.3     8.9      0.5  MILP>greedy
 5   13.5   10.2     9.4      0.5  MILP>greedy
 5   15.5   11.4    11.4      1.2  =
 5   17.5   11.4    11.4      1.2  =
 5   19.5   11.4    11.4      1.7  =
 5   21.5   11.9    11.9      1.7  =
 5   23.5   11.9    11.9      1.7  =
 5   25.5   11.9    11.9      1.7  =
 5   27.5   11.9    11.9      1.7  =
 5   29.5   11.9    11.9      2.6  =
 5   31.5   11.9    11.9      2.6  =
 5   33.5   11.9    11.9      3.8  =
 5   35.5   11.9    11.9      3.8  =
 5   37.5   11.9    11.9      3.8  =
 5   39.5   11.9    11.9      3.8  =
 5   41.5   11.9    11.9      3.8  =
 5   43.5   11.9    11.9      3.8  =
 5   45.5   11.9    11.9      3.8  =
 5   47.5   11.9    11.9      3.8  =
 5   49.5   11.9    11.9      3.8  =
 5   51.5   11.9    11.9      3.8  =
 5   53.5   11.9    11.9      3.8  =
 5   55.5   11.9    11.9      3.8  =
 5   57.5   11.9    11.9      7.2  =
 5   59.5   11.9    11.9      7.2  =
 9   17.8    9.3     8.1      0.5  MILP>greedy
 9   19.8   10.2     9.4      0.5  MILP>greedy
 9   21.8   11.4    11.4      0.5  =
 9   23.8   11.4    11.4      1.2  =
 9   25.8   11.4    11.4      1.2  =
 9   27.8   11.4    11.4      1.2  =
 9   29.8   11.4    11.4      1.7  =
 9   31.8   11.4    11.4      1.7  =
 9   33.8   11.9    11.9      1.7  =
 9   35.8   11.9    11.9      1.7  =
 9   37.8   11.9    11.9      1.7  =
 9   39.8   11.9    11.9      1.7  =
 9   41.8   11.9    11.9      1.7  =
 9   43.8   11.9    11.9      1.7  =
 9   45.8   11.9    11.9      1.7  =
 9   47.8   11.9    11.9      1.7  =
 9   49.8   11.9    11.9      2.6  =
 9   51.8   11.9    11.9      2.6  =
 9   53.8   11.9    11.9      3.2  =
 9   55.8   11.9    11.9      3.8  =
 9   57.8   11.9    11.9      3.8  =
 9   59.8   11.9    11.9      3.8  =
 9   61.8   11.9    11.9      3.8  =
 9   63.8   11.9    11.9      3.8  =
 9   65.8   11.9    11.9      3.8  =
 9   67.8   11.9    11.9      3.8  =
 9   69.8   11.9    11.9      3.8  =
 9   71.8   11.9    11.9      3.8  =
 9   73.8   11.9    11.9      3.8  =
 9   75.8   11.9    11.9      3.8  =
 9   77.8   11.9    11.9      3.8  =
 9   79.8   11.9    11.9      3.8  =
 9   81.8   11.9    11.9      3.8  =
 9   83.8   11.9    11.9      3.8  =
 9   85.8   11.9    11.9      3.8  =
 9   87.8   11.9    11.9      3.8  =
 9   89.8   11.9    11.9      3.8  =
 9   91.8   11.9    11.9      3.8  =
 9   93.8   11.9    11.9      3.8  =
 9   95.8   11.9    11.9      7.2  =
 9   97.8   11.9    11.9      7.2  =

MILP strictly > greedy in 7/91 points; tie in 84/91
