SYNTHETIC affinities (declared). skill range 0.51-0.73
 k    eps  MILP_q greedy_q    gap  winner
 1    5.2   1.611    1.611    0.0  tie
 1    7.2   1.792    1.611  0.181  MILP
 1    9.2   1.818    1.611  0.207  MILP
 1   11.2   1.847    1.847    0.0  tie
 1   13.2   1.847    1.847    0.0  tie
 1   15.2   1.847    1.847    0.0  tie
 1   17.2   1.847    1.847    0.0  tie
 1   19.2   1.847    1.847    0.0  tie
 3    8.3   2.597    2.033  0.564  MILP
 3   10.3   3.106    2.762  0.344  MILP
 3   12.3   3.294    3.294    0.0  tie
 3   14.3   3.494    3.294  0.199  MILP
 3   16.3   3.520    3.294  0.226  MILP
 3   18.3   3.520    3.294  0.226  MILP
 3   20.3   3.520    3.153  0.367  MILP
 3   22.3   3.520    3.153  0.367  MILP
 3   24.3   3.520    3.153  0.367  MILP
 3   26.3   3.520    3.153  0.367  MILP
 3   28.3   3.520    3.153  0.367  MILP
 3   30.3   3.520    3.153  0.367  MILP
 3   32.3   3.520    3.153  0.367  MILP
 3   34.3   3.520    3.153  0.367  MILP
 3   36.3   3.520    3.153  0.367  MILP
 3   38.3   3.520    3.153  0.367  MILP
 3   40.3   3.520    3.153  0.367  MILP
 5   11.5   3.791    3.226  0.565  MILP
 5   13.5   4.416    3.226   1.19  MILP
 5   15.5   4.676    4.144  0.532  MILP
 5   17.5   4.860    4.144  0.716  MILP
 5   19.5   4.985    4.785  0.199  MILP
 5   21.5   5.004    4.785  0.219  MILP
 5   23.5   5.024    4.785  0.238  MILP
 5   25.5   5.024    4.785  0.238  MILP
 5   27.5   5.024    4.785  0.238  MILP
 5   29.5   5.024    4.502  0.522  MILP
 5   31.5   5.024    4.502  0.522  MILP
 5   33.5   5.024    4.502  0.522  MILP
 5   35.5   5.024    4.502  0.522  MILP
 5   37.5   5.024    4.502  0.522  MILP
 5   39.5   5.024    4.502  0.522  MILP
 5   41.5   5.024    4.502  0.522  MILP
 5   43.5   5.024    4.502  0.522  MILP
 5   45.5   5.024    4.502  0.522  MILP
 5   47.5   5.024    4.502  0.522  MILP
 5   49.5   5.024    4.502  0.522  MILP
 5   51.5   5.024    4.502  0.522  MILP
 5   53.5   5.024    4.502  0.522  MILP
 5   55.5   5.024    4.502  0.522  MILP
 5   57.5   5.024    4.527  0.497  MILP
 5   59.5   5.024    4.527  0.497  MILP
 9   17.8   6.057    5.524  0.532  MILP
 9   19.8   6.688    5.524  1.164  MILP
 9   21.8   7.093    5.524  1.569  MILP
 9   23.8   7.461    6.641   0.82  MILP
 9   25.8   7.715    6.641  1.075  MILP
 9   27.8   7.923    6.641  1.282  MILP
 9   29.8   8.040    6.641    1.4  MILP
 9   31.8   8.149    7.834  0.315  MILP
 9   33.8   8.224    7.834   0.39  MILP
 9   35.8   8.263    7.834  0.429  MILP
 9   37.8   8.283    7.834  0.449  MILP
 9   39.8   8.302    7.834  0.468  MILP
 9   41.8   8.302    7.834  0.468  MILP
 9   43.8   8.302    7.834  0.468  MILP
 9   45.8   8.302    7.834  0.468  MILP
 9   47.8   8.302    7.834  0.468  MILP
 9   49.8   8.302     7.31  0.993  MILP
 9   51.8   8.302     7.31  0.993  MILP
 9   53.8   8.302     7.31  0.993  MILP
 9   55.8   8.302     7.31  0.993  MILP
 9   57.8   8.302     7.31  0.993  MILP
 9   59.8   8.302     7.31  0.993  MILP
 9   61.8   8.302     7.31  0.993  MILP
 9   63.8   8.302     7.31  0.993  MILP
 9   65.8   8.302     7.31  0.993  MILP
 9   67.8   8.302     7.31  0.993  MILP
 9   69.8   8.302     7.31  0.993  MILP
 9   71.8   8.302     7.31  0.993  MILP
 9   73.8   8.302     7.31  0.993  MILP
 9   75.8   8.302     7.31  0.993  MILP
 9   77.8   8.302     7.31  0.993  MILP
 9   79.8   8.302     7.31  0.993  MILP
 9   81.8   8.302     7.31  0.993  MILP
 9   83.8   8.302     7.31  0.993  MILP
 9   85.8   8.302     7.31  0.993  MILP
 9   87.8   8.302     7.31  0.993  MILP
 9   89.8   8.302     7.31  0.993  MILP
 9   91.8   8.302     7.31  0.993  MILP
 9   93.8   8.302     7.31  0.993  MILP
 9   95.8   8.302    7.618  0.685  MILP
 9   97.8   8.302    7.618  0.685  MILP

MILP strictly > greedy in 84/91 points (92%)
