QUALITY-AWARE MILP on measured data. domains: 9
 k   eps      Q   mem   lat  disp | spec | synth   (f1/qs/qy)
 1   4.0  1.361  4.97   3.7  phi3.5-mini|smollm2-360|qwen2.5-0_5 (0.66/0.65/0.61)
 1   4.5  1.466  5.95   4.4  phi3.5-mini|llama3.2-1b|qwen2.5-0_5 (0.66/0.75/0.61)
 1   5.0  1.496  5.22   5.0  phi3.5-mini|llama3.2-1b|llama3.2-1b (0.66/0.75/0.64)
 1   6.0  1.505  6.37   5.7  phi3.5-mini|llama3.2-1b|llama3.2-1b (0.66/0.75/0.65)
 1   7.5  1.565  4.74   7.4  gemma2-2b  |llama3.2-1b|gemma2-2b   (0.64/0.75/0.71)
 1   8.0  1.582  6.98   8.0  phi3.5-mini|llama3.2-1b|phi3.5-mini (0.66/0.75/0.73)
 1  12.0  1.582  6.88  12.0  smollm2-360|llama3.2-1b|mistral-7b  (0.42/0.75/0.77)
 1  12.5  1.599  6.43  12.3  mistral-7b |llama3.2-1b|mistral-7b  (0.53/0.75/0.77)

 3   6.5  1.305  1.65   6.4  smollm2-360|smollm2-360|smollm2-360 (0.42/0.64/0.60)
 3   7.0  1.351  5.11   6.7  phi3.5-mini|smollm2-360|qwen2.5-0_5 (0.66/0.64/0.61)
 3   7.5  1.380  6.03   7.3  phi3.5-mini|smollm2-360|llama3.2-1b (0.66/0.64/0.64)
 3   8.0  1.391  5.88   7.8  phi3.5-mini|smollm2-360|llama3.2-1b (0.66/0.65/0.64)
 3   9.0  1.456  6.03   8.9  phi3.5-mini|llama3.2-1b|smollm2-360 (0.66/0.75/0.60)
 3   9.5  1.466  5.95   9.1  phi3.5-mini|llama3.2-1b|qwen2.5-0_5 (0.66/0.75/0.61)
 3  10.0  1.496  5.22   9.7  phi3.5-mini|llama3.2-1b|llama3.2-1b (0.66/0.75/0.64)
 3  10.5  1.505  6.37  10.4  phi3.5-mini|llama3.2-1b|llama3.2-1b (0.66/0.75/0.65)
 3  12.0  1.529  5.21  11.9  smollm2-360|llama3.2-1b|gemma2-2b   (0.42/0.75/0.71)
 3  12.5  1.565  4.74  12.1  gemma2-2b  |llama3.2-1b|gemma2-2b   (0.64/0.75/0.71)
 3  13.0  1.582  6.98  12.7  phi3.5-mini|llama3.2-1b|phi3.5-mini (0.66/0.75/0.73)
 3  17.0  1.597  6.04  16.9  mistral-7b |llama3.2-1b|mistral-7b  (0.53/0.75/0.77)
 3  17.5  1.599  6.43  17.0  mistral-7b |llama3.2-1b|mistral-7b  (0.53/0.75/0.77)

 5  10.0  1.351  5.11   9.9  phi3.5-mini|smollm2-360|qwen2.5-0_5 (0.66/0.64/0.61)
 5  10.5  1.380  6.03  10.5  phi3.5-mini|smollm2-360|llama3.2-1b (0.66/0.64/0.64)
 5  11.5  1.391  5.88  11.3  phi3.5-mini|smollm2-360|llama3.2-1b (0.66/0.65/0.64)
 5  12.0  1.398  5.79  12.0  gemma2-2b  |smollm2-360|llama3.2-1b (0.64/0.65/0.65)
 5  12.5  1.400  6.27  12.0  phi3.5-mini|smollm2-360|llama3.2-1b (0.66/0.65/0.65)
 5  13.0  1.451  6.62  12.9  phi3.5-mini|smollm2-360|gemma2-2b   (0.66/0.64/0.71)
 5  14.0  1.467  6.15  13.5  phi3.5-mini|smollm2-360|phi3.5-mini (0.66/0.64/0.73)
 5  14.5  1.496  5.22  14.4  phi3.5-mini|llama3.2-1b|llama3.2-1b (0.66/0.75/0.64)
 5  15.5  1.505  6.37  15.2  phi3.5-mini|llama3.2-1b|llama3.2-1b (0.66/0.75/0.65)
 5  17.0  1.565  4.74  16.9  gemma2-2b  |llama3.2-1b|gemma2-2b   (0.64/0.75/0.71)
 5  17.5  1.582  6.98  17.5  phi3.5-mini|llama3.2-1b|phi3.5-mini (0.66/0.75/0.73)
 5  21.5  1.582  6.88  21.4  smollm2-360|llama3.2-1b|mistral-7b  (0.42/0.75/0.77)
 5  22.0  1.599  6.43  21.7  mistral-7b |llama3.2-1b|mistral-7b  (0.53/0.75/0.77)

 9  16.0  1.305  1.65  15.9  smollm2-360|smollm2-360|smollm2-360 (0.42/0.64/0.60)
 9  16.5  1.351  5.11  16.2  phi3.5-mini|smollm2-360|qwen2.5-0_5 (0.66/0.64/0.61)
 9  17.0  1.380  6.03  16.8  phi3.5-mini|smollm2-360|llama3.2-1b (0.66/0.64/0.64)
 9  18.0  1.390  6.41  17.5  phi3.5-mini|smollm2-360|llama3.2-1b (0.66/0.64/0.65)
 9  18.5  1.391  5.88  18.2  phi3.5-mini|smollm2-360|llama3.2-1b (0.66/0.65/0.64)
 9  19.0  1.400  6.27  18.9  phi3.5-mini|smollm2-360|llama3.2-1b (0.66/0.65/0.65)
 9  19.5  1.451  6.62  19.3  phi3.5-mini|smollm2-360|gemma2-2b   (0.66/0.64/0.71)
 9  20.0  1.467  6.15  19.8  phi3.5-mini|smollm2-360|phi3.5-mini (0.66/0.64/0.73)
 9  21.5  1.477  6.01  21.2  phi3.5-mini|smollm2-360|phi3.5-mini (0.66/0.65/0.73)
