agent,config_id,n_queries,faithfulness,answer_relevancy,context_precision,context_recall,correctness,quality
A_dispatcher,gemma2-2b__Q5_K_M__c2048,52,,,,,,0.6448
A_dispatcher,gemma2-2b__Q5_K_M__c4096,52,,,,,,0.6448
A_dispatcher,gemma2-2b__Q5_K_M__c8192,52,,,,,,0.6448
A_dispatcher,gemma2-2b__Q8_0__c2048,52,,,,,,0.5038
A_dispatcher,gemma2-2b__Q8_0__c4096,52,,,,,,0.5038
A_dispatcher,gemma2-2b__Q8_0__c8192,52,,,,,,0.5038
A_dispatcher,llama3.2-1b__Q5_K_M__c2048,52,,,,,,0.2669
A_dispatcher,llama3.2-1b__Q5_K_M__c4096,52,,,,,,0.2669
A_dispatcher,llama3.2-1b__Q5_K_M__c8192,52,,,,,,0.2669
A_dispatcher,llama3.2-1b__Q8_0__c2048,52,,,,,,0.3405
A_dispatcher,llama3.2-1b__Q8_0__c4096,52,,,,,,0.3405
A_dispatcher,llama3.2-1b__Q8_0__c8192,52,,,,,,0.3405
A_dispatcher,llama3.2-3b__Q5_K_M__c2048,52,,,,,,0.0787
A_dispatcher,llama3.2-3b__Q5_K_M__c4096,52,,,,,,0.0787
A_dispatcher,llama3.2-3b__Q5_K_M__c8192,52,,,,,,0.0787
A_dispatcher,llama3.2-3b__Q8_0__c2048,52,,,,,,0.0326
A_dispatcher,llama3.2-3b__Q8_0__c4096,52,,,,,,0.0326
A_dispatcher,llama3.2-3b__Q8_0__c8192,52,,,,,,0.0326
A_dispatcher,mistral-7b__Q3_K_M__c2048,52,,,,,,0.5338
A_dispatcher,mistral-7b__Q3_K_M__c4096,52,,,,,,0.5338
A_dispatcher,mistral-7b__Q3_K_M__c8192,52,,,,,,0.5338
A_dispatcher,mistral-7b__Q5_K_M__c2048,52,,,,,,0.649
A_dispatcher,mistral-7b__Q5_K_M__c4096,52,,,,,,0.649
A_dispatcher,mistral-7b__Q5_K_M__c8192,52,,,,,,0.649
A_dispatcher,phi3.5-mini__Q3_K_M__c2048,52,,,,,,0.6572
A_dispatcher,phi3.5-mini__Q3_K_M__c4096,52,,,,,,0.6572
