eps,k,Q,disp,spec,synth,used_mem,lat,f1,qs,qy
4.0,1,1.3610371428571428,phi3.5-mini__Q3_K_M__c4096,smollm2-360m__Q8_0__c4096,qwen2.5-0_5b__Q3_K_M__c8192,4.97265625,3.7250159976568966,0.6572,0.6487571428571428,0.6137
4.5,1,1.4662577777777779,phi3.5-mini__Q3_K_M__c4096,llama3.2-1b__Q5_K_M__c8192,qwen2.5-0_5b__Q3_K_M__c8192,5.94921875,4.356366947674701,0.6572,0.7539777777777777,0.6137
5.0,1,1.4957577777777777,phi3.5-mini__Q3_K_M__c4096,llama3.2-1b__Q5_K_M__c8192,llama3.2-1b__Q5_K_M__c8192,5.224609375,4.966997397673708,0.6572,0.7539777777777777,0.6432
6.0,1,1.5054577777777778,phi3.5-mini__Q3_K_M__c2048,llama3.2-1b__Q5_K_M__c8192,llama3.2-1b__Q8_0__c8192,6.365234375,5.687361189088847,0.6572,0.7539777777777777,0.6529
7.5,1,1.5648977777777777,gemma2-2b__Q5_K_M__c8192,llama3.2-1b__Q5_K_M__c8192,gemma2-2b__Q5_K_M__c8192,4.7421875,7.396839187522687,0.6448,0.7539777777777777,0.7142
8.0,1,1.5822577777777778,phi3.5-mini__Q3_K_M__c8192,llama3.2-1b__Q5_K_M__c8192,phi3.5-mini__Q3_K_M__c8192,6.982421875,7.985359098444064,0.6572,0.7539777777777777,0.7297
12.0,1,1.5822727777777779,smollm2-360m__Q5_K_M__c2048,llama3.2-1b__Q5_K_M__c8192,mistral-7b__Q3_K_M__c8192,6.880859375,11.955434162899678,0.4213,0.7539777777777777,0.7651
12.5,1,1.5991477777777776,mistral-7b__Q3_K_M__c8192,llama3.2-1b__Q5_K_M__c8192,mistral-7b__Q3_K_M__c8192,6.42578125,12.275699029323505,0.5338,0.7539777777777777,0.7651
6.5,3,1.3052172222222223,smollm2-360m__Q5_K_M__c8192,smollm2-360m__Q3_K_M__c8192,smollm2-360m__Q3_K_M__c8192,1.65234375,6.399432872074703,0.4213,0.6384222222222222,0.6036
7.0,3,1.3507022222222222,phi3.5-mini__Q3_K_M__c4096,smollm2-360m__Q3_K_M__c8192,qwen2.5-0_5b__Q3_K_M__c8192,5.11328125,6.726224977703691,0.6572,0.6384222222222222,0.6137
