k,eps,bil_Q,bil_lat,bil_mem,bil,add_Q,add
1,6.0,1.4534525,5.591477437539993,6.291015625,gemma2-2b|llama3.2-1b|llama3.2-1b,1.3031325,phi3.5-mini|llama3.2-1b|llama3.2-1b
1,7.5,1.5147525000000002,7.323962487555377,4.271484375,gemma2-2b|llama3.2-1b|gemma2-2b,1.3644325,phi3.5-mini|llama3.2-1b|gemma2-2b
1,9.0,1.528001779661017,7.76529921290296,6.966796875,smollm2-360m|llama3.2-1b|phi3.5-mini,1.3799325,phi3.5-mini|llama3.2-1b|phi3.5-mini
1,10.5,1.528001779661017,7.76529921290296,6.966796875,smollm2-360m|llama3.2-1b|phi3.5-mini,1.3799325,phi3.5-mini|llama3.2-1b|phi3.5-mini
1,12.0,1.563401779661017,11.879693732095348,6.806640625,smollm2-360m|llama3.2-1b|mistral-7b,1.563401779661017,smollm2-360m|llama3.2-1b|mistral-7b
1,13.5,1.563401779661017,11.879693732095348,6.806640625,smollm2-360m|llama3.2-1b|mistral-7b,1.2429000000000001,mistral-7b|llama3.2-1b|mistral-7b
1,15.0,1.563401779661017,11.879693732095348,6.806640625,smollm2-360m|llama3.2-1b|mistral-7b,1.2429000000000001,mistral-7b|llama3.2-1b|mistral-7b
1,16.5,1.563401779661017,11.879693732095348,6.806640625,smollm2-360m|llama3.2-1b|mistral-7b,1.2429000000000001,mistral-7b|llama3.2-1b|mistral-7b
1,18.0,1.563401779661017,11.879693732095348,6.806640625,smollm2-360m|llama3.2-1b|mistral-7b,1.2429000000000001,mistral-7b|llama3.2-1b|mistral-7b
1,19.5,1.563401779661017,11.879693732095348,6.806640625,smollm2-360m|llama3.2-1b|mistral-7b,1.2429000000000001,mistral-7b|llama3.2-1b|mistral-7b
1,21.0,1.563401779661017,11.879693732095348,6.806640625,smollm2-360m|llama3.2-1b|mistral-7b,1.239525,mistral-7b|mistral-7b|mistral-7b
1,22.5,1.563401779661017,11.879693732095348,6.806640625,smollm2-360m|llama3.2-1b|mistral-7b,1.239525,mistral-7b|mistral-7b|mistral-7b
1,24.0,1.563401779661017,11.879693732095348,6.806640625,smollm2-360m|llama3.2-1b|mistral-7b,1.239525,mistral-7b|mistral-7b|mistral-7b
1,25.5,1.563401779661017,11.879693732095348,6.806640625,smollm2-360m|llama3.2-1b|mistral-7b,1.239525,mistral-7b|mistral-7b|mistral-7b
1,27.0,1.563401779661017,11.879693732095348,6.806640625,smollm2-360m|llama3.2-1b|mistral-7b,1.239525,mistral-7b|mistral-7b|mistral-7b
1,28.5,1.563401779661017,11.879693732095348,6.806640625,smollm2-360m|llama3.2-1b|mistral-7b,1.239525,mistral-7b|mistral-7b|mistral-7b
3,7.5,1.371876920903955,7.188376162066287,3.2890625,smollm2-360m|smollm2-360m|llama3.2-1b,1.256764017094017,phi3.5-mini|smollm2-360m|llama3.2-1b
3,9.0,1.4334972598870057,8.725945482140105,2.7421875,smollm2-360m|llama3.2-1b|qwen2.5-0_5b,1.3016580769230768,phi3.5-mini|llama3.2-1b|qwen2.5-0_5b
3,10.5,1.4726972598870056,10.054650932150707,4.037109375,smollm2-360m|llama3.2-1b|llama3.2-1b,1.340858076923077,phi3.5-mini|llama3.2-1b|llama3.2-1b
